close,volume,date,high,low,open
5987294.395297348,500104636500.2638,2016-01-01 23:59:59.999000+00:00,6013651.140292479,5893294.47693182,5937489.099429402
5974942.668460183,414881631000.2189,2016-01-02 23:59:59.999000+00:00,6011114.83154614,5953327.88269357,5991264.397891344
5927701.44653633,546351933000.2882,2016-01-03 23:59:59.999000+00:00,5979147.413180645,5854572.122500647,5976872.770388895
6024295.857546759,530412337500.2798,2016-01-04 23:59:59.999000+00:00,6044131.446230849,5914923.145297309,5928390.948947219
5984805.681609008,480209366000.2242,2016-01-05 23:59:59.999000+00:00,6039471.715090711,5953160.908964972,6023989.793398809
5983869.378202362,471658837499.9135,2016-01-06 23:59:59.999000+00:00,5983869.378202362,5906954.602354873,5983364.707487916
6378318.45779505,1221054878999.5952,2016-01-07 23:59:59.999000+00:00,6388316.427613167,5977042.552188274,5996503.204343716
6308961.752927063,793627525000.1072,2016-01-08 23:59:59.999000+00:00,6416265.108029749,6235296.796872406,6371216.571808721
6230745.014645846,449309759999.8131,2016-01-09 23:59:59.999000+00:00,6328589.003903617,6220694.985348975,6311091.2988255
6236034.682614593,501062927999.7916,2016-01-10 23:59:59.999000+00:00,6240461.147458341,6129686.103513075,6239473.051755217
6219696.485287031,563063999999.7657,2016-01-11 23:59:59.999000+00:00,6277721.483157674,6178461.752927117,6245876.132809902
6058269.483951604,1603469089999.0989,2016-01-12 23:59:59.999000+00:00,6216284.43481096,6058269.483951604,6216284.43481096
5975367.250367681,2417912640001.5366,2016-01-13 23:59:59.999000+00:00,6051261.394504578,5901879.81995004,6044016.94382098
5942525.856628525,607326810000.1494,2016-01-14 23:59:59.999000+00:00,6010203.951107462,5942525.856628525,5974220.082398931
5060557.501828464,2117777420480.038,2016-01-15 23:59:59.999000+00:00,5941821.617431748,5060557.501828464,5941821.617431748
5382875.189206229,1671689279999.144,2016-01-16 23:59:59.999000+00:00,5424836.824948395,4929755.480344156,5070863.942868497
5310133.265988492,629489243999.6777,2016-01-17 23:59:59.999000+00:00,5430503.79913052,5279478.025815168,5377541.391903984
5393250.229800264,755670170999.613,2016-01-18 23:59:59.999000+00:00,5406288.774416971,5246943.569033585,5302271.393735078
5274567.1920755925,652199814000.3508,2016-01-19 23:59:59.999000+00:00,5391272.193606416,5258236.28997599,5391272.193606416
5864309.803312133,1688864999999.3457,2016-01-20 23:59:59.999000+00:00,5934600.961149022,5225311.111448171,5268892.364499912
5705513.542328773,953656789999.6624,2016-01-21 23:59:59.999000+00:00,5882219.266970521,5650413.930237701,5855964.399869753
5295601.800844173,1273138566200.1992,2016-01-22 23:59:59.999000+00:00,5707571.920929849,5195779.469148581,5698407.255463538
5364812.857820516,778745253000.2776,2016-01-23 23:59:59.999000+00:00,5462447.824861567,5288526.77261541,5294798.598176936
5579133.609926306,759049356000.2706,2016-01-24 23:59:59.999000+00:00,5613939.622194384,5365076.085206991,5373272.048036584
5433239.802853392,817718928000.2915,2016-01-25 23:59:59.999000+00:00,5570078.67233475,5389243.780209373,5570078.67233475
5448966.145322394,806498889999.5468,2016-01-26 23:59:59.999000+00:00,5526958.447873631,5430945.544742221,5437067.936398312
5481026.233947044,658962037999.7202,2016-01-27 23:59:59.999000+00:00,5500243.800657057,5443811.06979139,5453009.383390019
5274608.450314418,822183108299.8936,2016-01-28 23:59:59.999000+00:00,5488381.450499778,5266924.246823212,5483440.987792259
5225356.966552176,1194557855519.3286,2016-01-29 23:59:59.999000+00:00,5292898.799743086,5057855.622559686,5272097.983700651
5208571.417235771,417016187999.9554,2016-01-30 23:59:59.999000+00:00,5245226.982421313,5184281.033019464,5216970.915526786
